text,label
cmsplus.dev,0
/etc/apache2/sites-available,0
"<VirtualHost *:80>
    ServerAdmin master@server.com
    ServerName www.cmsplus.dev
    ServerAlias cmsplus.dev

    DocumentRoot /var/www/cmsplus.dev/public

    LogLevel warn
    ErrorLog /var/www/cmsplus.dev/log/error.log
    CustomLog /var/www/cmsplus.dev/log/access.log combined
</VirtualHost>",0
sudo /usr/sbin/a2ensite cmsplus.dev,0
ERROR: Site cmsplus.dev does not exist!,1
Apache/2.4.6 (Ubuntu),0
laravel.mydomain.example,0
.htaccess,0
/var/sites/laravel/public/.htaccess,0
.htaccess,0
"$ cat /var/sites/laravel/public/.htaccess
<IfModule mod_rewrite.c>
    <IfModule mod_negotiation.c>
    Options -MultiViews
</IfModule>

RewriteEngine On

# Redirect Trailing Slashes...
RewriteRule ^(.*)/$ /$1 [L,R=301]

# Handle Front Controller...
RewriteCond %{REQUEST_FILENAME} !-d
RewriteCond %{REQUEST_FILENAME} !-f
RewriteRule ^ index.php [L]",0
"DocumentRoot ""/var/sites/laravel/public""
ServerName laravel.mydomain.example
<Directory ""/var/sites/laravel/public"">
    AllowOverride All
    allow from all
    Options +Indexes
    Require all granted
</Directory>",0
"$ /usr/local/apache2/bin/apachectl -S
VirtualHost configuration:
*:*                    is a NameVirtualHost
     default server mydomain.example (/usr/local/apache2/conf/extra/httpd-vhosts.conf:25)
     port * namevhost mydomain.example (/usr/local/apache2/conf/extra/httpd-vhosts.conf:25)
     port * namevhost laravel.mydomain.example (/usr/local/apache2/conf/extra/httpd-     vhosts.conf:34)
ServerRoot: ""/usr/local/apache2""
Main DocumentRoot: ""/var/www""
Main ErrorLog: ""/usr/local/apache2/logs/error_log""
Mutex rewrite-map: using_defaults
Mutex default: dir=""/usr/local/apache2/logs/"" mechanism=default
PidFile: ""/usr/local/apache2/logs/httpd.pid""
Define: DUMP_VHOSTS
Define: DUMP_RUN_CFG
User: name=""daemon"" id=1 not_used
Group: name=""daemon"" id=1 not_used",0
filename.php,0
"<?
include_once(""/code/configs.php"");
?>",0
www.mytest.com,0
403 Forbidden,0
/var/www,0
"ls -l /var/www/

total 12
drwxr-xr-x 2 root root 4096 2011-08-04 11:26 mytest.com
-rwxr-xr-x 1 root root 177 2011-07-25 16:10 index.html",0
"cat /etc/hosts

127.0.0.1 localhost 
127.0.1.1 americano
192.168.2.5 americano.mytest.com www.mytest.com

# The following lines are desirable for IPv6 capable hosts
::1 localhost ip6-localhost ip6-loopback
fe00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters",0
"<VirtualHost *>
ServerAdmin admin@mytest.com
ServerName www.mytest.com
ServerAlias mytest.com

DocumentRoot ""/var/www/mytest.com""

ErrorLog /var/log/apache2/mytest-error_log
CustomLog /var/log/apache2/mytest-access_log combined

#
# This should be changed to whatever you set DocumentRoot to.
#
<Directory ""/var/www/mytest.com"">
Options -Indexes FollowSymLinks
AllowOverride None

Order allow,deny
Allow from all
</Directory>
</VirtualHost>",0
.htaccess,0
www.mytest.com,0
403,0
.htaccess,0
/var/www/html,0
ErrorDocument 404 /var/www/html/404.php,0
sudo service httpd restart,0
http://.../wordpress/sample-post/,0
The requested URL /wordpress/wp-json/ was not found on this server,1
admin.py,0
wsgi.py,0
manage.py check,0
wsgi.py,0
